s_lat,s_lon,s_country_id,s_country,e_lat,e_lon,e_country,e_vol,total,Wood and articles of wood; wood charcoal,44Percentage,Cork and articles of cork,45Percentage,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",46Percentage,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,47Percentage,"Paper and paperboard; articles of paper pulp, of paper or paperboard",48Percentage,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",49Percentage
48,14,2,Austria,24,-103,Mexico,,70292749,22488361,31.99%,39,0.00%,,0.00%,,0.00%,45274513,64.41%,2529836,3.60%
48,14,2,Austria,52,5,Netherlands,,198079297,68117000,34.39%,12418,0.01%,9149,0.00%,34304,0.02%,114353629,57.73%,15552797,7.85%
48,14,2,Austria,52,19,Poland,,370619982,79631964,21.49%,28622,0.01%,174895,0.05%,3290016,0.89%,281609077,75.98%,5885408,1.59%
48,14,2,Austria,46,25,Romania,,153755896,40592213,26.40%,56991,0.04%,107013,0.07%,1760094,1.14%,108399194,70.50%,2840391,1.85%
48,14,2,Austria,62,97,Russian Federation,,109015114,20745785,19.03%,93980,0.09%,9612,0.01%,92632,0.08%,86493279,79.34%,1579826,1.45%
48,14,2,Austria,44,21,Serbia,,75508767,26889915,35.61%,318045,0.42%,2834,0.00%,2040521,2.70%,41527142,55.00%,4730310,6.26%
48,14,2,Austria,49,19,Slovakia,,161886475,72203485,44.60%,126186,0.08%,515873,0.32%,3249571,2.01%,80255560,49.58%,5535800,3.42%
48,14,2,Austria,46,15,Slovenia,,571362067,197794872,34.62%,402200,0.07%,201020,0.04%,148324249,25.96%,214743415,37.58%,9896311,1.73%
48,14,2,Austria,40,-4,Spain,,144905644,55750265,38.47%,3611,0.00%,3939,0.00%,196662,0.14%,86207841,59.49%,2743326,1.89%
48,14,2,Austria,47,8,Switzerland,,784369787,400294387,51.03%,490722,0.06%,2173135,0.28%,10241164,1.31%,304815747,38.86%,66354632,8.46%
48,14,2,Austria,39,35,Turkey,,89295380,35652675,39.93%,903,0.00%,83,0.00%,39547,0.04%,51207136,57.35%,2395036,2.68%
48,14,2,Austria,54,-3,United Kingdom,,243026491,75844462,31.21%,6977,0.00%,5067,0.00%,1584713,0.65%,160091148,65.87%,5494124,2.26%
48,14,2,Austria,46,-112,USA,,176245513,89017068,50.51%,1605,0.00%,49568,0.03%,1374,0.00%,78378134,44.47%,8797764,4.99%
61,-98,3,Canada,37,104,China,,3630297016,1177751016,32.44%,33700,0.00%,181,0.00%,2414584829,66.51%,36737895,1.01%,1189395,0.03%
61,-98,3,Canada,23,80,India,,370957026,5384191,1.45%,35,0.00%,97,0.00%,154069310,41.53%,210888235,56.85%,615158,0.17%
61,-98,3,Canada,-2,117,Indonesia,,302055450,7067635,2.34%,11879,0.00%,,0.00%,293582173,97.19%,1328339,0.44%,65424,0.02%
61,-98,3,Canada,38,138,Japan,,1088268129,851618991,78.25%,358,0.00%,3966,0.00%,230171805,21.15%,5489237,0.50%,983772,0.09%
61,-98,3,Canada,24,-103,Mexico,,159793882,14964236,9.36%,678,0.00%,1899,0.00%,45249835,28.32%,92422403,57.84%,7154831,4.48%
61,-98,3,Canada,36,128,Rep. of Korea,,362569504,154337124,42.57%,10340,0.00%,,0.00%,202273726,55.79%,5218257,1.44%,730057,0.20%
61,-98,3,Canada,54,-3,United Kingdom,,411375525,288476299,70.12%,20396,0.00%,16316,0.00%,750284,0.18%,113335872,27.55%,8776358,2.13%
61,-98,3,Canada,46,-112,USA,,18838176766,10114035303,53.69%,3361101,0.02%,29551142,0.16%,1906896109,10.12%,6115238842,32.46%,669094269,3.55%
37,104,4,China,-26,134,Australia,,1182721359,386422829,32.67%,634880,0.05%,18511555,1.57%,125485,0.01%,662609879,56.02%,114416731,9.67%
