s_lat,s_lon,s_country_id,s_country,e_lat,e_lon,e_country,e_vol,total,Wood and articles of wood; wood charcoal,44Percentage,Cork and articles of cork,45Percentage,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",46Percentage,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,47Percentage,"Paper and paperboard; articles of paper pulp, of paper or paperboard",48Percentage,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",49Percentage
51,10,7,Germany,47,8,Switzerland,,2405487552,765241221,31.81%,3711828,0.15%,5070896,0.21%,47011911,1.95%,833389821,34.65%,751061875,31.22%
51,10,7,Germany,39,35,Turkey,,458742817,45117557,9.84%,677580,0.15%,254585,0.06%,16660457,3.63%,377633565,82.32%,18399073,4.01%
51,10,7,Germany,49,31,Ukraine,,169634427,24663385,14.54%,38030,0.02%,60559,0.04%,4923231,2.90%,135002527,79.58%,4946695,2.92%
51,10,7,Germany,54,-3,United Kingdom,,2229365361,442930344,19.87%,807976,0.04%,4272960,0.19%,29350841,1.32%,1426312062,63.98%,325691178,14.61%
51,10,7,Germany,46,-112,USA,,1200823932,284758488,23.71%,999098,0.08%,177453,0.01%,2350664,0.20%,777368453,64.74%,135169776,11.26%
43,12,8,Italy,-26,134,Australia,,81714225,16108860,19.71%,764031,0.94%,2431,0.00%,208999,0.26%,60467274,74.00%,4162630,5.09%
43,12,8,Italy,48,14,Austria,,332926511,112932512,33.92%,375103,0.11%,164787,0.05%,24290840,7.30%,176835631,53.12%,18327638,5.51%
43,12,8,Italy,51,5,Belgium,,222268023,35042088,15.77%,55380,0.02%,27337,0.01%,1190418,0.54%,160804878,72.35%,25147922,11.31%
43,12,8,Italy,43,25,Bulgaria,,56256160,6834441,12.15%,846781,1.51%,31987,0.06%,2962,0.01%,45354274,80.62%,3185715,5.66%
43,12,8,Italy,37,104,China,,284532218,37551528,13.20%,7138608,2.51%,76925,0.03%,154480862,54.29%,76387992,26.85%,8896303,3.13%
43,12,8,Italy,45,16,Croatia,,100554670,22724105,22.60%,394023,0.39%,134711,0.13%,1415864,1.41%,73358842,72.95%,2527125,2.51%
43,12,8,Italy,50,15,Czechia,,128674912,15516714,12.06%,128952,0.10%,58265,0.05%,61257,0.05%,90747560,70.52%,22162164,17.22%
43,12,8,Italy,26,30,Egypt,,86213070,12499949,14.50%,12762,0.01%,23113,0.03%,17793,0.02%,71530726,82.97%,2128727,2.47%
43,12,8,Italy,46,3,France,,1741282841,231650536,13.30%,4492686,0.26%,651536,0.04%,11196857,0.64%,1146393814,65.84%,346897412,19.92%
43,12,8,Italy,51,10,Germany,,1409140923,249290444,17.69%,1272125,0.09%,309550,0.02%,50517636,3.58%,952818271,67.62%,154932897,10.99%
43,12,8,Italy,39,23,Greece,,172155318,21244472,12.34%,443027,0.26%,532325,0.31%,438138,0.25%,140796398,81.78%,8700958,5.05%
43,12,8,Italy,47,19,Hungary,,110472159,15627770,14.15%,552484,0.50%,47504,0.04%,5251557,4.75%,80650721,73.01%,8342123,7.55%
43,12,8,Italy,23,80,India,,146195304,13609458,9.31%,333567,0.23%,19419,0.01%,2756908,1.89%,127392035,87.14%,2083917,1.43%
43,12,8,Italy,31,35,Israel,,84633013,35941686,42.47%,533978,0.63%,74274,0.09%,18701,0.02%,45717118,54.02%,2347256,2.77%
43,12,8,Italy,24,-103,Mexico,,69855954,7793540,11.16%,74988,0.11%,17135,0.02%,435568,0.62%,55765562,79.83%,5769161,8.26%
43,12,8,Italy,30,-8,Morocco,,68185462,14650271,21.49%,100598,0.15%,3442,0.01%,48761,0.07%,45235092,66.34%,8147298,11.95%
43,12,8,Italy,52,5,Netherlands,,251959605,45749819,18.16%,28504,0.01%,51758,0.02%,1080920,0.43%,166019462,65.89%,39029142,15.49%
43,12,8,Italy,52,19,Poland,,299801087,20885551,6.97%,273640,0.09%,62982,0.02%,4482612,1.50%,243112404,81.09%,30983898,10.33%
43,12,8,Italy,40,-9,Portugal,,101318289,8997788,8.88%,6517951,6.43%,299705,0.30%,30343,0.03%,78826951,77.80%,6645551,6.56%
43,12,8,Italy,46,25,Romania,,162498956,30316239,18.66%,394644,0.24%,287981,0.18%,2324399,1.43%,116463502,71.67%,12712191,7.82%
43,12,8,Italy,62,97,Russian Federation,,143780350,60001537,41.73%,88552,0.06%,91272,0.06%,119378,0.08%,74306661,51.68%,9172950,6.38%
43,12,8,Italy,24,45,Saudi Arabia,,57428567,11694656,20.36%,8066,0.01%,209085,0.36%,2052654,3.57%,40122236,69.86%,3341870,5.82%
43,12,8,Italy,46,15,Slovenia,,161165839,39194386,24.32%,598619,0.37%,81462,0.05%,19911131,12.35%,93483505,58.00%,7896736,4.90%
43,12,8,Italy,40,-4,Spain,,660543402,49692290,7.52%,5402891,0.82%,662135,0.10%,12310521,1.86%,519254132,78.61%,73221433,11.09%
43,12,8,Italy,63,17,Sweden,,57868875,9243843,15.97%,10735,0.02%,6657,0.01%,7321,0.01%,31770373,54.90%,16829946,29.08%
43,12,8,Italy,47,8,Switzerland,,503539021,139203428,27.65%,826519,0.16%,589255,0.12%,9124835,1.81%,258697287,51.38%,95097697,18.89%
43,12,8,Italy,34,10,Tunisia,,93752343,24964137,26.63%,144414,0.15%,8854,0.01%,1653,0.00%,65237103,69.58%,3396182,3.62%
43,12,8,Italy,39,35,Turkey,,192415437,18262598,9.49%,57543,0.03%,308046,0.16%,5617823,2.92%,157554737,81.88%,10614690,5.52%
43,12,8,Italy,24,54,United Arab Emirates,,87376562,29504843,33.77%,32551,0.04%,124877,0.14%,396124,0.45%,53997777,61.80%,3320390,3.80%
43,12,8,Italy,54,-3,United Kingdom,,659773185,123229424,18.68%,780982,0.12%,260530,0.04%,5988565,0.91%,393073559,59.58%,136440125,20.68%
43,12,8,Italy,46,-112,USA,,408779379,142610127,34.89%,6662678,1.63%,370844,0.09%,24930,0.01%,173075011,42.34%,86035789,21.05%
63,17,9,Sweden,28,3,Algeria,,145310404,130423633,89.76%,5964,0.00%,,0.00%,157284,0.11%,13859339,9.54%,864184,0.59%
63,17,9,Sweden,48,14,Austria,,249389751,17876801,7.17%,819,0.00%,46425,0.02%,100781999,40.41%,129926873,52.10%,756834,0.30%
63,17,9,Sweden,51,5,Belgium,,260906904,72234920,27.69%,3508,0.00%,7718,0.00%,7467300,2.86%,179799537,68.91%,1393921,0.53%
63,17,9,Sweden,37,104,China,,589880649,159230434,26.99%,3859,0.00%,1520,0.00%,136736621,23.18%,292225804,49.54%,1682411,0.29%
63,17,9,Sweden,50,15,Czechia,,85804016,9274485,10.81%,117,0.00%,1754,0.00%,3325180,3.88%,72858794,84.91%,343686,0.40%
63,17,9,Sweden,56,10,Denmark,,826035167,364883929,44.17%,270715,0.03%,920900,0.11%,19325216,2.34%,413824701,50.10%,26809706,3.25%
63,17,9,Sweden,26,30,Egypt,,243105529,182507860,75.07%,,0.00%,,0.00%,1787891,0.74%,52698862,21.68%,6110916,2.51%
63,17,9,Sweden,64,26,Finland,,307548292,46087444,14.99%,176813,0.06%,2111580,0.69%,28838960,9.38%,204239928,66.41%,26093567,8.48%
63,17,9,Sweden,46,3,France,,549345501,97169148,17.69%,8303,0.00%,8303,0.00%,124680141,22.70%,323877747,58.96%,3601859,0.66%
63,17,9,Sweden,51,10,Germany,,2289996580,285440847,12.46%,45373,0.00%,73087,0.00%,327405349,14.30%,1672108530,73.02%,4923394,0.21%
63,17,9,Sweden,47,19,Hungary,,106797142,4711499,4.41%,,0.00%,234,0.00%,27868244,26.09%,74025852,69.31%,191313,0.18%
63,17,9,Sweden,23,80,India,,232472674,4948887,2.13%,702,0.00%,234,0.00%,111136188,47.81%,94781123,40.77%,21605540,9.29%
63,17,9,Sweden,-2,117,Indonesia,,119657815,770983,0.64%,,0.00%,,0.00%,63253369,52.86%,55529153,46.41%,104310,0.09%
63,17,9,Sweden,43,12,Italy,,732295626,31926869,4.36%,936,0.00%,21634,0.00%,207350991,28.32%,490759310,67.02%,2235886,0.31%
63,17,9,Sweden,38,138,Japan,,278075052,209711418,75.42%,468,0.00%,54260,0.02%,20037379,7.21%,45446732,16.34%,2824795,1.02%
63,17,9,Sweden,24,-103,Mexico,,89830014,149098,0.17%,,0.00%,,0.00%,1168695,1.30%,88357861,98.36%,154360,0.17%
63,17,9,Sweden,30,-8,Morocco,,148836018,77402835,52.01%,17892,0.01%,,0.00%,323806,0.22%,68922254,46.31%,2169231,1.46%
63,17,9,Sweden,52,5,Netherlands,,975571769,219559960,22.51%,6198,0.00%,4678,0.00%,231071969,23.69%,521857193,53.49%,3071771,0.31%
63,17,9,Sweden,69,15,Norway,,1286292985,633158266,49.22%,1803093,0.14%,2422873,0.19%,57499703,4.47%,481692743,37.45%,109716307,8.53%
63,17,9,Sweden,30,69,Pakistan,,92521030,3077735,3.33%,,0.00%,,0.00%,10702085,11.57%,78664965,85.02%,76245,0.08%
63,17,9,Sweden,52,19,Poland,,499292163,71412718,14.30%,3274,0.00%,160090,0.03%,98791101,19.79%,326936304,65.48%,1988676,0.40%
63,17,9,Sweden,62,97,Russian Federation,,78718874,7387898,9.39%,6899,0.01%,1052,0.00%,21537948,27.36%,48857862,62.07%,927215,1.18%
63,17,9,Sweden,24,45,Saudi Arabia,,140588380,68427482,48.67%,234,0.00%,,0.00%,1114201,0.79%,70803579,50.36%,242884,0.17%
63,17,9,Sweden,40,-4,Spain,,376784295,42457286,11.27%,6783,0.00%,24791,0.01%,101714710,27.00%,231445709,61.43%,1135016,0.30%
63,17,9,Sweden,47,8,Switzerland,,79161959,10470193,13.23%,819,0.00%,62680,0.08%,12777881,16.14%,53760674,67.91%,2089712,2.64%
63,17,9,Sweden,39,35,Turkey,,222598288,14946995,6.71%,12279,0.01%,,0.00%,46342139,20.82%,160519811,72.11%,777064,0.35%
63,17,9,Sweden,54,-3,United Kingdom,,1492172175,632672499,42.40%,8303,0.00%,23739,0.00%,161263664,10.81%,692017861,46.38%,6186109,0.41%
63,17,9,Sweden,46,-112,USA,,268832958,69710544,25.93%,95423,0.04%,285567,0.11%,31772274,11.82%,158727476,59.04%,8241674,3.07%
