s_lat,s_lon,s_country_id,s_country,e_lat,e_lon,e_country,e_vol,total,46Percentage
64,26,5,Finland,69,15,Norway,,3020,0.00%
64,26,5,Finland,52,19,Poland,,216,0.00%
64,26,5,Finland,36,128,Rep. of Korea,,6466,0.01%
64,26,5,Finland,62,97,Russian Federation,,50837,0.01%
64,26,5,Finland,24,45,Saudi Arabia,,,0.00%
64,26,5,Finland,40,-4,Spain,,,0.00%
64,26,5,Finland,63,17,Sweden,,65456,0.01%
64,26,5,Finland,39,35,Turkey,,,0.00%
64,26,5,Finland,54,-3,United Kingdom,,562,0.00%
64,26,5,Finland,46,-112,USA,,7101,0.00%
46,3,6,France,28,3,Algeria,,4384,0.00%
46,3,6,France,-26,134,Australia,,12001,0.01%
46,3,6,France,48,14,Austria,,226699,0.22%
46,3,6,France,51,5,Belgium,,1102731,0.08%
46,3,6,France,61,-98,Canada,,39698,0.03%
46,3,6,France,37,104,China,,1944970,0.78%
46,3,6,France,50,15,Czechia,,19828,0.02%
46,3,6,France,51,10,Germany,,1271667,0.07%
46,3,6,France,23,80,India,,3618,0.00%
46,3,6,France,43,12,Italy,,1769518,0.17%
46,3,6,France,38,138,Japan,,640980,1.17%
46,3,6,France,50,6,Luxembourg,,94193,0.07%
46,3,6,France,30,-8,Morocco,,81367,0.08%
46,3,6,France,52,5,Netherlands,,256737,0.05%
46,3,6,France,52,19,Poland,,469089,0.19%
46,3,6,France,40,-9,Portugal,,186811,0.13%
46,3,6,France,36,128,Rep. of Korea,,32021,0.06%
46,3,6,France,62,97,Russian Federation,,32710,0.05%
46,3,6,France,40,-4,Spain,,2115866,0.16%
46,3,6,France,63,17,Sweden,,81037,0.12%
46,3,6,France,47,8,Switzerland,,565361,0.11%
46,3,6,France,34,10,Tunisia,,3674781,4.09%
46,3,6,France,39,35,Turkey,,81059,0.11%
46,3,6,France,54,-3,United Kingdom,,694609,0.08%
46,3,6,France,46,-112,USA,,598481,0.11%
51,10,7,Germany,48,14,Austria,,10290679,0.31%
51,10,7,Germany,51,5,Belgium,,1921069,0.11%
51,10,7,Germany,61,-98,Canada,,31556,0.02%
51,10,7,Germany,37,104,China,,199368,0.03%
51,10,7,Germany,50,15,Czechia,,2117289,0.16%
51,10,7,Germany,56,10,Denmark,,865250,0.10%
51,10,7,Germany,64,26,Finland,,801637,0.43%
51,10,7,Germany,46,3,France,,3926375,0.11%
51,10,7,Germany,47,19,Hungary,,879884,0.23%
51,10,7,Germany,23,80,India,,168797,0.08%
51,10,7,Germany,43,12,Italy,,3185218,0.16%
51,10,7,Germany,38,138,Japan,,39178,0.02%
51,10,7,Germany,50,6,Luxembourg,,347213,0.14%
51,10,7,Germany,24,-103,Mexico,,53446,0.03%
51,10,7,Germany,52,5,Netherlands,,5130809,0.17%
51,10,7,Germany,69,15,Norway,,548131,0.29%
51,10,7,Germany,52,19,Poland,,3653585,0.14%
51,10,7,Germany,46,25,Romania,,618315,0.19%
51,10,7,Germany,62,97,Russian Federation,,208512,0.04%
51,10,7,Germany,24,45,Saudi Arabia,,426441,0.24%
51,10,7,Germany,49,19,Slovakia,,819702,0.33%
51,10,7,Germany,46,15,Slovenia,,415902,0.24%
51,10,7,Germany,-29,25,South Africa,,40630,0.02%
51,10,7,Germany,40,-4,Spain,,2748234,0.29%
51,10,7,Germany,63,17,Sweden,,1861666,0.30%
51,10,7,Germany,47,8,Switzerland,,5070896,0.21%
51,10,7,Germany,39,35,Turkey,,254585,0.06%
51,10,7,Germany,49,31,Ukraine,,60559,0.04%
51,10,7,Germany,54,-3,United Kingdom,,4272960,0.19%
51,10,7,Germany,46,-112,USA,,177453,0.01%
43,12,8,Italy,-26,134,Australia,,2431,0.00%
43,12,8,Italy,48,14,Austria,,164787,0.05%
43,12,8,Italy,51,5,Belgium,,27337,0.01%
43,12,8,Italy,43,25,Bulgaria,,31987,0.06%
43,12,8,Italy,37,104,China,,76925,0.03%
43,12,8,Italy,45,16,Croatia,,134711,0.13%
43,12,8,Italy,50,15,Czechia,,58265,0.05%
43,12,8,Italy,26,30,Egypt,,23113,0.03%
43,12,8,Italy,46,3,France,,651536,0.04%
43,12,8,Italy,51,10,Germany,,309550,0.02%
43,12,8,Italy,39,23,Greece,,532325,0.31%
43,12,8,Italy,47,19,Hungary,,47504,0.04%
43,12,8,Italy,23,80,India,,19419,0.01%
43,12,8,Italy,31,35,Israel,,74274,0.09%
43,12,8,Italy,24,-103,Mexico,,17135,0.02%
43,12,8,Italy,30,-8,Morocco,,3442,0.01%
43,12,8,Italy,52,5,Netherlands,,51758,0.02%
43,12,8,Italy,52,19,Poland,,62982,0.02%
43,12,8,Italy,40,-9,Portugal,,299705,0.30%
43,12,8,Italy,46,25,Romania,,287981,0.18%
43,12,8,Italy,62,97,Russian Federation,,91272,0.06%
43,12,8,Italy,24,45,Saudi Arabia,,209085,0.36%
43,12,8,Italy,46,15,Slovenia,,81462,0.05%
43,12,8,Italy,40,-4,Spain,,662135,0.10%
43,12,8,Italy,63,17,Sweden,,6657,0.01%
43,12,8,Italy,47,8,Switzerland,,589255,0.12%
43,12,8,Italy,34,10,Tunisia,,8854,0.01%
43,12,8,Italy,39,35,Turkey,,308046,0.16%
43,12,8,Italy,24,54,United Arab Emirates,,124877,0.14%
43,12,8,Italy,54,-3,United Kingdom,,260530,0.04%
43,12,8,Italy,46,-112,USA,,370844,0.09%
63,17,9,Sweden,28,3,Algeria,,,0.00%
63,17,9,Sweden,48,14,Austria,,46425,0.02%
63,17,9,Sweden,51,5,Belgium,,7718,0.00%
63,17,9,Sweden,37,104,China,,1520,0.00%
63,17,9,Sweden,50,15,Czechia,,1754,0.00%
63,17,9,Sweden,56,10,Denmark,,920900,0.11%
63,17,9,Sweden,26,30,Egypt,,,0.00%
63,17,9,Sweden,64,26,Finland,,2111580,0.69%
63,17,9,Sweden,46,3,France,,8303,0.00%
63,17,9,Sweden,51,10,Germany,,73087,0.00%
63,17,9,Sweden,47,19,Hungary,,234,0.00%
63,17,9,Sweden,23,80,India,,234,0.00%
63,17,9,Sweden,-2,117,Indonesia,,,0.00%
63,17,9,Sweden,43,12,Italy,,21634,0.00%
63,17,9,Sweden,38,138,Japan,,54260,0.02%
63,17,9,Sweden,24,-103,Mexico,,,0.00%
63,17,9,Sweden,30,-8,Morocco,,,0.00%
63,17,9,Sweden,52,5,Netherlands,,4678,0.00%
63,17,9,Sweden,69,15,Norway,,2422873,0.19%
63,17,9,Sweden,30,69,Pakistan,,,0.00%
63,17,9,Sweden,52,19,Poland,,160090,0.03%
63,17,9,Sweden,62,97,Russian Federation,,1052,0.00%
63,17,9,Sweden,24,45,Saudi Arabia,,,0.00%
63,17,9,Sweden,40,-4,Spain,,24791,0.01%
63,17,9,Sweden,47,8,Switzerland,,62680,0.08%
63,17,9,Sweden,39,35,Turkey,,,0.00%
63,17,9,Sweden,54,-3,United Kingdom,,23739,0.00%
63,17,9,Sweden,46,-112,USA,,285567,0.11%
