s_lat,s_lon,s_country_id,s_country,e_lat,e_lon,e_country,e_vol,total,45Percentage
51,10,7,Germany,37,104,China,,984984,0.14%
51,10,7,Germany,50,15,Czechia,,1513883,0.12%
51,10,7,Germany,56,10,Denmark,,730112,0.09%
51,10,7,Germany,64,26,Finland,,168088,0.09%
51,10,7,Germany,46,3,France,,4562510,0.13%
51,10,7,Germany,47,19,Hungary,,545547,0.14%
51,10,7,Germany,23,80,India,,94965,0.04%
51,10,7,Germany,43,12,Italy,,1468826,0.08%
51,10,7,Germany,38,138,Japan,,130446,0.06%
51,10,7,Germany,50,6,Luxembourg,,900569,0.37%
51,10,7,Germany,24,-103,Mexico,,12439,0.01%
51,10,7,Germany,52,5,Netherlands,,1172029,0.04%
51,10,7,Germany,69,15,Norway,,316349,0.17%
51,10,7,Germany,52,19,Poland,,1152557,0.04%
51,10,7,Germany,46,25,Romania,,846451,0.27%
51,10,7,Germany,62,97,Russian Federation,,1920492,0.36%
51,10,7,Germany,24,45,Saudi Arabia,,86911,0.05%
51,10,7,Germany,49,19,Slovakia,,208428,0.08%
51,10,7,Germany,46,15,Slovenia,,137334,0.08%
51,10,7,Germany,-29,25,South Africa,,1100501,0.59%
51,10,7,Germany,40,-4,Spain,,523240,0.05%
51,10,7,Germany,63,17,Sweden,,524992,0.08%
51,10,7,Germany,47,8,Switzerland,,3711828,0.15%
51,10,7,Germany,39,35,Turkey,,677580,0.15%
51,10,7,Germany,49,31,Ukraine,,38030,0.02%
51,10,7,Germany,54,-3,United Kingdom,,807976,0.04%
51,10,7,Germany,46,-112,USA,,999098,0.08%
43,12,8,Italy,-26,134,Australia,,764031,0.94%
43,12,8,Italy,48,14,Austria,,375103,0.11%
43,12,8,Italy,51,5,Belgium,,55380,0.02%
43,12,8,Italy,43,25,Bulgaria,,846781,1.51%
43,12,8,Italy,37,104,China,,7138608,2.51%
43,12,8,Italy,45,16,Croatia,,394023,0.39%
43,12,8,Italy,50,15,Czechia,,128952,0.10%
43,12,8,Italy,26,30,Egypt,,12762,0.01%
43,12,8,Italy,46,3,France,,4492686,0.26%
43,12,8,Italy,51,10,Germany,,1272125,0.09%
43,12,8,Italy,39,23,Greece,,443027,0.26%
43,12,8,Italy,47,19,Hungary,,552484,0.50%
43,12,8,Italy,23,80,India,,333567,0.23%
43,12,8,Italy,31,35,Israel,,533978,0.63%
43,12,8,Italy,24,-103,Mexico,,74988,0.11%
43,12,8,Italy,30,-8,Morocco,,100598,0.15%
43,12,8,Italy,52,5,Netherlands,,28504,0.01%
43,12,8,Italy,52,19,Poland,,273640,0.09%
43,12,8,Italy,40,-9,Portugal,,6517951,6.43%
43,12,8,Italy,46,25,Romania,,394644,0.24%
43,12,8,Italy,62,97,Russian Federation,,88552,0.06%
43,12,8,Italy,24,45,Saudi Arabia,,8066,0.01%
43,12,8,Italy,46,15,Slovenia,,598619,0.37%
43,12,8,Italy,40,-4,Spain,,5402891,0.82%
43,12,8,Italy,63,17,Sweden,,10735,0.02%
43,12,8,Italy,47,8,Switzerland,,826519,0.16%
43,12,8,Italy,34,10,Tunisia,,144414,0.15%
43,12,8,Italy,39,35,Turkey,,57543,0.03%
43,12,8,Italy,24,54,United Arab Emirates,,32551,0.04%
43,12,8,Italy,54,-3,United Kingdom,,780982,0.12%
43,12,8,Italy,46,-112,USA,,6662678,1.63%
63,17,9,Sweden,28,3,Algeria,,5964,0.00%
63,17,9,Sweden,48,14,Austria,,819,0.00%
63,17,9,Sweden,51,5,Belgium,,3508,0.00%
63,17,9,Sweden,37,104,China,,3859,0.00%
63,17,9,Sweden,50,15,Czechia,,117,0.00%
63,17,9,Sweden,56,10,Denmark,,270715,0.03%
63,17,9,Sweden,26,30,Egypt,,,0.00%
63,17,9,Sweden,64,26,Finland,,176813,0.06%
63,17,9,Sweden,46,3,France,,8303,0.00%
63,17,9,Sweden,51,10,Germany,,45373,0.00%
63,17,9,Sweden,47,19,Hungary,,,0.00%
63,17,9,Sweden,23,80,India,,702,0.00%
63,17,9,Sweden,-2,117,Indonesia,,,0.00%
63,17,9,Sweden,43,12,Italy,,936,0.00%
63,17,9,Sweden,38,138,Japan,,468,0.00%
63,17,9,Sweden,24,-103,Mexico,,,0.00%
63,17,9,Sweden,30,-8,Morocco,,17892,0.01%
63,17,9,Sweden,52,5,Netherlands,,6198,0.00%
63,17,9,Sweden,69,15,Norway,,1803093,0.14%
63,17,9,Sweden,30,69,Pakistan,,,0.00%
63,17,9,Sweden,52,19,Poland,,3274,0.00%
63,17,9,Sweden,62,97,Russian Federation,,6899,0.01%
63,17,9,Sweden,24,45,Saudi Arabia,,234,0.00%
63,17,9,Sweden,40,-4,Spain,,6783,0.00%
63,17,9,Sweden,47,8,Switzerland,,819,0.00%
63,17,9,Sweden,39,35,Turkey,,12279,0.01%
63,17,9,Sweden,54,-3,United Kingdom,,8303,0.00%
63,17,9,Sweden,46,-112,USA,,95423,0.04%
